1,AO,NAO,PNA,EPO,NINO34,NINO12,NINO3,NINO4
2000-07-27,-0.041,-127.620,-49.390,127.270,-0.5010287,-0.5416250,-0.4105650,0.3780305E-01
2000-07-28,-0.438,-112.790,27.650,146.060,-0.4992882,-0.5038699,-0.2848615,-0.6696754E-01
2000-07-29,-0.936,-101.240,106.120,104.620,-0.5148671,-0.4131508,-0.2725770,-0.9932179E-01
2000-07-30,-1.212,-83.210,104.010,50.520,-0.5140481,-0.4110800,-0.2968023,-0.1009439
2000-07-31,-1.158,-56.790,85.220,33.780,-0.4734904,-0.4842941,-0.2941919,-0.9761070E-01
2000-08-01,-1.253,-61.720,57.710,9.490,-0.3626597,-0.6891628,-0.3085696,-0.5233298E-01
2000-08-02,-1.588,-46.630,43.490,-54.720,-0.3183574,-0.7658607,-0.3221054,-0.5322023E-01
2000-08-03,-1.300,-38.780,13.090,-84.690,-0.2457380,-0.8039058,-0.2860104,-0.7075579E-01
2000-08-04,-1.067,-15.030,-31.590,-94.130,-0.1843596,-0.8394986,-0.2682516,-0.1451885
2000-08-05,-1.131,-1.720,-61.760,-89.450,-0.2216585,-0.8796008,-0.3213278,-0.2263174
2000-08-06,-0.951,10.140,-82.050,-70.550,-0.3370243,-0.8731943,-0.4221238,-0.3385311
2000-08-07,-0.700,18.130,-101.530,-51.780,-0.3413031,-0.8851761,-0.4094634,-0.2038710
2000-08-08,-0.333,13.210,-84.760,-40.900,-0.3812981,-0.8884534,-0.4296432,-0.2167121
2000-08-09,0.265,1.620,-62.110,-36.470,-0.3479265,-0.8687812,-0.4784257,-0.2552119
2000-08-10,1.031,-2.290,-42.310,-24.070,-0.3519679,-1.015010,-0.5788810,-0.2474512
2000-08-11,1.305,11.510,-18.840,-1.540,-0.3375431,-1.039527,-0.5993883,-0.2681799
2000-08-12,0.902,31.650,-38.030,-16.250,-0.3821276,-1.046013,-0.6127345,-0.2928487
2000-08-13,0.464,35.180,-76.960,-47.270,-0.3897248,-1.039271,-0.5924600,-0.2845421
2000-08-14,0.448,20.020,-90.130,-61.760,-0.2966964,-0.9245085,-0.4436654,-0.2835311
2000-08-15,-0.028,-5.960,-60.190,-44.410,-0.3045751,-0.8154606,-0.3528798,-0.3518066
2000-08-16,-0.443,-59.020,-20.810,-21.540,-0.3356207,-0.7742779,-0.4251868,-0.2868421
2000-08-17,-0.800,-114.240,-26.120,1.950,-0.3878659,-0.9256755,-0.5569367,-0.2770708
2000-08-18,-0.877,-128.830,-59.720,32.370,-0.4602176,-1.026017,-0.5886869,-0.4602207
2000-08-19,-0.937,-126.830,-72.210,60.290,-0.5208814,-1.184770,-0.6014329,-0.5513102
2000-08-20,-1.198,-120.770,-66.570,74.830,-0.5510741,-1.194877,-0.6874679,-0.5676742
2000-08-21,-1.704,-117.180,-65.100,76.720,-0.5168844,-1.112928,-0.6817098,-0.5409675
2000-08-22,-1.298,-124.050,-58.270,57.610,-0.4939951,-1.162217,-0.6373162,-0.5445741
2000-08-23,-0.620,-98.160,-31.370,20.440,-0.5898650,-1.111796,-0.6339971,-0.6415356
2000-08-24,-0.776,-52.610,-6.080,8.800,-0.6223037,-1.045693,-0.6307419,-0.6302382
2000-08-25,-1.412,-24.110,-35.050,3.590,-0.5381023,-1.119426,-0.5642893,-0.4982947
2000-08-26,-0.895,-8.170,-78.950,-22.400,-0.4545431,-1.135253,-0.5021199,-0.4214761
2000-08-27,0.025,-7.930,-122.960,-40.880,-0.4106848,-1.147677,-0.4532995,-0.4268230
2000-08-28,-0.094,-25.840,-152.800,-70.510,-0.4609700,-1.142203,-0.4553736,-0.4665166
2000-08-29,-0.863,-45.890,-179.240,-90.790,-0.4910767,-1.041097,-0.4186640,-0.4627512
2000-08-30,-1.756,-55.360,-219.730,-123.760,-0.4229568,-0.9110442,-0.3686746,-0.2488492
2000-08-31,-2.623,-56.600,-235.330,-163.790,-0.3704801,-1.052988,-0.2569019,-0.2225911
2000-09-01,-3.655,-41.970,-176.340,-154.130,-0.3089297,-1.081287,-0.8969464E-01,-0.2232546
2000-09-02,-4.224,-9.800,-118.270,-100.660,-0.3313171,-1.016737,-0.3463922E-01,-0.1583721
2000-09-03,-4.327,27.100,-65.440,-56.470,-0.3256684,-0.9036549,-0.5521585E-01,-0.7213826E-01
2000-09-04,-4.345,57.260,-41.230,-15.030,-0.3513452,-0.7943284,-0.1767884,-0.8252449E-01
2000-09-05,-4.548,60.750,-45.410,27.760,-0.3696230,-0.4978576,-0.2622556,-0.8288921E-01
2000-09-06,-4.383,93.450,-104.490,50.920,-0.4759039,-0.4417904,-0.3478222,-0.1542131
2000-09-07,-4.461,125.310,-200.040,85.620,-0.5257709,-0.4128860,-0.3714910,-0.1928096
2000-09-08,-4.484,105.550,-274.010,74.930,-0.5494990,-0.5289001,-0.4549130,-0.2287186
2000-09-09,-3.937,48.050,-311.710,69.850,-0.6273789,-0.5644877,-0.5301541,-0.2265377
2000-09-10,-4.049,-20.330,-301.320,55.240,-0.6597093,-0.4863364,-0.5350208,-0.2415615
2000-09-11,-3.707,-30.420,-219.050,69.740,-0.6675323,-0.4325798,-0.5074279,-0.3197161
2000-09-12,-3.207,8.940,-93.130,84.340,-0.8307732,-0.5334911,-0.5574005,-0.3288925
2000-09-13,-2.060,6.830,65.460,82.590,-0.7918203,-0.5623955,-0.5303820,-0.2285696
2000-09-14,-0.878,-0.220,197.000,81.400,-0.6110476,-0.5303534,-0.4962147,-0.1308832
2000-09-15,-0.294,-1.220,244.090,61.550,-0.5292392,-0.4487527,-0.5198650,0.4467493E-01
2000-09-16,-0.243,-11.610,296.600,49.790,-0.5489182,-0.3855576,-0.5601912,0.2319400E-01
2000-09-17,-0.215,-38.740,206.510,18.860,-0.5518513,-0.3119242,-0.5739895,0.4630453E-01
2000-09-18,-0.001,-53.920,29.400,-53.190,-0.5451090,-0.3856638,-0.6288067,0.8107026E-01
2000-09-19,0.362,-45.750,-101.100,-108.800,-0.4796287,-0.4610476,-0.6366889,0.1182830
2000-09-20,0.222,-39.620,-124.230,-138.560,-0.4571403,-0.2436463,-0.6697325,0.9696964E-01
2000-09-21,0.138,-21.190,-131.450,-189.610,-0.4585663,-0.2124029,-0.7069523,0.5244599E-01
